audio_url,ref_text
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_2_2.wav,"The little knot of Indians drew back in a body, and suffered, as they thought, the conjurer and his inspired assistant to proceed."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_2_3.wav,"It consisted of one small dynamo of a capacity of two hundred and eighty lights of ten c.p. each, and was housed in an unpretentious wooden shed."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_2_4.wav,"Humble man that he was, he will not now take a back seat."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_2_5.wav,There their sad condition evoked for a time general commiseration.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_2_6.wav,"""It's really quite the best thing MacConnell's done,"" he explained as they got into a hansom."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_2_7.wav,"""Oh, it's easy enough to make a fortune,"" Henry said."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_2_8.wav,"Hector Servadac was thirty years of age, an orphan without lineage and almost without means."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_2_9.wav,But this subject will be more properly discussed when we treat of the different races of mankind.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_2_10.wav,The theory of many mothers is that they must govern their children by the influence of reason and affection.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_2_11.wav,"They were not only well armed and supplied, but wrought up to the highest pitch of partisan excitement."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_2_12.wav,"To deal with this problem, we must have a theory of memory."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_2_13.wav,"There was Captain Battleax seated there, beautiful with a cocked hat, and an epaulet, and gold braid."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_2_14.wav,"Julius' color was nearly jet black, and his speech was very good considering his lack of book learning, his bearing was entirely self possessed and commendable."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_0.wav,"At most, by an alms given to a beggar whose blessing he fled from, he might hope wearily to win for himself some measure of actual grace."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_1.wav,"In both these high mythical subjects the surrounding nature, though suffering, is still dignified and beautiful."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_2.wav,"The little knot of Indians drew back in a body, and suffered, as they thought, the conjurer and his inspired assistant to proceed."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_3.wav,"It consisted of one small dynamo of a capacity of two hundred and eighty lights of ten c.p. each, and was housed in an unpretentious wooden shed."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_4.wav,"Humble man that he was, he will not now take a back seat."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_5.wav,There their sad condition evoked for a time general commiseration.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_6.wav,"""It's really quite the best thing MacConnell's done,"" he explained as they got into a hansom."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_7.wav,"""Oh, it's easy enough to make a fortune,"" Henry said."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_8.wav,"Hector Servadac was thirty years of age, an orphan without lineage and almost without means."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_9.wav,But this subject will be more properly discussed when we treat of the different races of mankind.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_10.wav,The theory of many mothers is that they must govern their children by the influence of reason and affection.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_11.wav,"They were not only well armed and supplied, but wrought up to the highest pitch of partisan excitement."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_12.wav,"To deal with this problem, we must have a theory of memory."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_13.wav,"There was Captain Battleax seated there, beautiful with a cocked hat, and an epaulet, and gold braid."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_0_14.wav,"Julius' color was nearly jet black, and his speech was very good considering his lack of book learning, his bearing was entirely self possessed and commendable."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_0.wav,"At most, by an alms given to a beggar whose blessing he fled from, he might hope wearily to win for himself some measure of actual grace."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_1.wav,"In both these high mythical subjects the surrounding nature, though suffering, is still dignified and beautiful."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_2.wav,"The little knot of Indians drew back in a body, and suffered, as they thought, the conjurer and his inspired assistant to proceed."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_3.wav,"It consisted of one small dynamo of a capacity of two hundred and eighty lights of ten c.p. each, and was housed in an unpretentious wooden shed."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_4.wav,"Humble man that he was, he will not now take a back seat."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_5.wav,There their sad condition evoked for a time general commiseration.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_6.wav,"""It's really quite the best thing MacConnell's done,"" he explained as they got into a hansom."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_7.wav,"""Oh, it's easy enough to make a fortune,"" Henry said."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_8.wav,"Hector Servadac was thirty years of age, an orphan without lineage and almost without means."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_9.wav,But this subject will be more properly discussed when we treat of the different races of mankind.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_10.wav,The theory of many mothers is that they must govern their children by the influence of reason and affection.
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_11.wav,"They were not only well armed and supplied, but wrought up to the highest pitch of partisan excitement."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_12.wav,"To deal with this problem, we must have a theory of memory."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_13.wav,"There was Captain Battleax seated there, beautiful with a cocked hat, and an epaulet, and gold braid."
https://github.com/ParkJHyun/Claudy_Rabbit/tree/main/wavs/IT/0_3_14.wav,"Julius' color was nearly jet black, and his speech was very good considering his lack of book learning, his bearing was entirely self possessed and commendable."
